Country,2017
Afghanistan,619
Albania,"4,450"
Algeria,"4,055"
Andorra,"39,153"
Angola,"4,247"
Anguilla,"18,861"
Antigua and Barbuda,"14,803"
Argentina,"14,400"
Armenia,"3,937"
Aruba,"25,655"
Australia,"57,613"
Austria,"47,718"
Azerbaijan,"4,146"
Bahamas,"29,825"
Bahrain,"23,668"
Bangladesh,"1,492"
Barbados,"16,494"
Belarus,"5,750"
Belgium,"43,289"
Belize,"5,077"
Benin,826
Bermuda,"102,192"
Bhutan,"3,173"
Bolivia (Plurinational State of),"3,394"
Bosnia and Herzegovina,"5,181"
Botswana,"7,596"
Brazil,"9,821"
British Virgin Islands,"31,917"
Brunei Darussalam,"28,291"
Bulgaria,"8,218"
Burkina Faso,642
Burundi,290
Cabo Verde,"3,245"
Cambodia,"1,382"
Cameroon,"1,452"
Canada,"44,974"
Cayman Islands,"65,472"
Central African Republic,428
Chad,719
Chile,"15,347"
China,"8,682"
"China, Hong Kong SAR","46,390"
"China, Macao SAR","80,893"
Colombia,"6,302"
Comoros,"1,330"
Congo,"2,147"
Cook Islands,"17,798"
Costa Rica,"11,734"
Côte d'Ivoire,"1,566"
Croatia,"13,177"
Cuba,"8,433"
Curaçao,
Cyprus,"25,790"
Czechia,"20,326"
Czechoslovakia (Former),
D.P.R. of Korea,685
D.R. of the Congo,463
Denmark,"57,533"
Djibouti,"1,928"
Dominica,"6,719"
Dominican Republic,"7,052"
Ecuador,"6,273"
Egypt,"2,000"
El Salvador,"3,889"
Equatorial Guinea,"9,850"
Eritrea,"1,147"
Estonia,"19,793"
Eswatini,"3,224"
Ethiopia,720
Ethiopia (Former),
Fiji,"5,382"
Finland,"45,670"
Former Netherlands Antilles,
France,"38,415"
French Polynesia,"19,807"
Gabon,"7,221"
Gambia,709
Georgia,"3,875"
Germany,"44,976"
Ghana,"2,046"
Greece,"18,198"
Greenland,"49,398"
Grenada,"10,451"
Guatemala,"4,471"
Guinea,803
Guinea-Bissau,724
Guyana,"4,555"
Haiti,776
Honduras,"2,480"
Hungary,"14,376"
Iceland,"73,060"
India,"1,923"
Indonesia,"3,847"
Iran (Islamic Republic of),"5,680"
Iraq,"4,756"
Ireland,"69,604"
Israel,"42,452"
Italy,"32,747"
Jamaica,"5,130"
Japan,"38,220"
Jordan,"4,196"
Kazakhstan,"8,756"
Kenya,"1,508"
Kiribati,"1,694"
Kosovo,"4,116"
Kuwait,"28,897"
Kyrgyzstan,"1,251"
Lao People's DR,"2,457"
Latvia,"15,625"
Lebanon,"8,778"
Lesotho,"1,178"
Liberia,584
Libya,"3,942"
Liechtenstein,"166,022"
Lithuania,"16,450"
Luxembourg,"106,806"
Madagascar,517
Malawi,340
Malaysia,"9,951"
Maldives,"11,151"
Mali,822
Malta,"29,137"
Marshall Islands,"3,753"
Mauritania,"1,129"
Mauritius,"10,565"
Mexico,"8,967"
Micronesia (FS of),"3,188"
Monaco,"165,421"
Mongolia,"3,620"
Montenegro,"7,703"
Montserrat,"11,582"
Morocco,"3,070"
Mozambique,426
Myanmar,"1,257"
Namibia,"5,227"
Nauru,"10,045"
Nepal,849
Netherlands,"48,754"
New Caledonia,"35,815"
New Zealand,"42,935"
Nicaragua,"2,222"
Niger,378
Nigeria,"1,969"
Norway,"75,295"
Oman,"15,267"
Pakistan,"1,534"
Palau,"13,417"
Panama,"15,088"
Papua New Guinea,"2,667"
Paraguay,"4,322"
Peru,"6,572"
Philippines,"2,989"
Poland,"13,786"
Portugal,"18,882"
Puerto Rico,"28,451"
Qatar,"63,506"
Republic of Korea,"30,025"
Republic of Moldova,"2,006"
Romania,"10,763"
Russian Federation,"10,956"
Rwanda,748
Saint Kitts and Nevis,"16,818"
Saint Lucia,"9,607"
Samoa,"4,356"
San Marino,"50,588"
Sao Tome and Principe,"1,921"
Saudi Arabia,"20,761"
Senegal,"1,333"
Serbia,"5,912"
Seychelles,"15,693"
Sierra Leone,495
Singapore,"56,737"
Sint Maarten (Dutch part),
Slovakia,"17,552"
Slovenia,"23,296"
Solomon Islands,"1,982"
Somalia,104
South Africa,"6,151"
South Sudan,453
Spain,"28,354"
Sri Lanka,"4,184"
St. Vincent and the Grenadines,"7,099"
State of Palestine,"2,946"
Sudan,"2,967"
Sudan (Former),
Suriname,"6,757"
Sweden,"54,043"
Switzerland,"80,101"
Syrian Arab Republic,831
Tajikistan,801
TFYR of Macedonia,"5,415"
Thailand,"6,595"
Timor-Leste,"2,279"
Togo,614
Tonga,"3,950"
Trinidad and Tobago,"16,145"
Tunisia,"3,475"
Turkey,"10,546"
Turkmenistan,"6,585"
Turks and Caicos Islands,"28,689"
Tuvalu,"3,924"
U.R. of Tanzania: Mainland,934
Uganda,646
Ukraine,"2,536"
United Arab Emirates,"40,699"
United Kingdom,"39,758"
United States,"60,055"
Uruguay,"17,120"
USSR (Former),
Uzbekistan,"1,557"
Vanuatu,"3,128"
Venezuela (Bolivarian Republic of),"7,977"
Viet Nam,"2,342"
Yemen,990
Yemen Arab Republic (Former),
Yemen Democratic (Former),
Yugoslavia (Former),
Zambia,"1,513"
Zanzibar,920
Zimbabwe,"1,091"
