Country Name,Country Code,2017 GDP per capita
Aruba,ABW,25655.10202
Afghanistan,AFG,550.0684588
Angola,AGO,4100.289786
Albania,ALB,4537.579056
Andorra,AND,39146.54884
Arab World,ARB,6239.713933
United Arab Emirates,ARE,40698.84934
Argentina,ARG,14398.35877
Armenia,ARM,3936.79832
American Samoa,ASM,11394.4753
Antigua and Barbuda,ATG,14803.01093
Australia,AUS,53799.93809
Austria,AUT,47290.91165
Azerbaijan,AZE,4131.61831
Burundi,BDI,292.0052103
Belgium,BEL,43323.80734
Benin,BEN,827.3936794
Burkina Faso,BFA,642.0371483
Bangladesh,BGD,1516.51327
Bulgaria,BGR,8227.960406
Bahrain,BHR,23655.0356
"Bahamas, The",BHS,30762.01244
Bosnia and Herzegovina,BIH,5148.208517
Belarus,BLR,5727.511718
Belize,BLZ,4971.201636
Bermuda,BMU,
Bolivia,BOL,3393.955818
Brazil,BRA,9821.407686
Barbados,BRB,16356.98011
Brunei Darussalam,BRN,28290.5852
Bhutan,BTN,3130.233543
Botswana,BWA,7595.611141
Central African Republic,CAF,418.411287
Canada,CAN,45032.11991
Central Europe and the Baltics,CEB,14159.23242
Switzerland,CHE,80189.69686
Channel Islands,CHI,
Chile,CHL,15346.4497
China,CHN,8826.994096
Cote d'Ivoire,CIV,1537.504031
Cameroon,CMR,1451.865747
"Congo, Dem. Rep.",COD,462.7795441
"Congo, Rep.",COG,1654.010322
Colombia,COL,6408.920012
Comoros,COM,1312.333925
Cabo Verde,CPV,3244.409561
Costa Rica,CRI,11677.26904
Caribbean small states,CSS,9448.224139
Cuba,CUB,8433.092699
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,25233.57098
Czech Republic,CZE,20368.13856
Germany,DEU,44469.90906
Djibouti,DJI,1927.589706
Dominica,DMA,6719.337166
Denmark,DNK,56307.5083
Dominican Republic,DOM,7052.258839
Algeria,DZA,4055.247211
East Asia & Pacific (excluding high income),EAP,7126.385077
Early-demographic dividend,EAR,3513.220852
East Asia & Pacific,EAS,10368.48391
Europe & Central Asia (excluding high income),ECA,7947.079776
Europe & Central Asia,ECS,23422.19437
Ecuador,ECU,6273.488892
"Egypt, Arab Rep.",EGY,2412.727082
Euro area,EMU,36870.17553
Eritrea,ERI,
Spain,ESP,28156.81584
